mode,case,concurrency,fragment,phase,exchanges,allocations,zeroed_allocations,reallocations,deallocations,requested_live_change,requested_peak_growth,requested_live_start,requested_live_end,requested_peak_live,live_before_setup,teardown_live_change
direct,1m,1,65536,cold,1,193,2,9,141,76652,76756,844,77496,77600,844,0
selected,1m,1,65536,cold,1,195,2,9,141,83756,83860,846,84602,84706,846,0
auto,1m,1,65536,cold,1,201,4,9,147,83756,113509,842,84598,114351,842,0
direct,1m,1,65536,steady,4,520,0,2,520,64,220,77746,77810,77966,846,0
selected,1m,1,65536,steady,4,520,0,2,520,64,220,84852,84916,85072,848,0
auto,1m,1,65536,steady,4,520,0,2,520,64,220,84848,84912,85068,844,0
direct,1m,8,65536,cold,8,1129,2,13,1077,99932,101306,844,100776,102150,844,0
selected,1m,8,65536,cold,8,1131,2,13,1077,107036,108410,846,107882,109256,846,0
auto,1m,8,65536,cold,8,1137,4,13,1083,107036,131520,842,107878,132362,842,0
direct,1m,8,65536,steady,32,4216,0,2,4216,512,1396,103242,103754,104638,846,0
selected,1m,8,65536,steady,32,4216,0,2,4216,512,1396,110348,110860,111744,848,0
auto,1m,8,65536,steady,32,4216,0,2,4216,512,1396,110344,110856,111740,844,0
direct,1m,64,65536,cold,64,9718,2,22,9666,301308,322557,845,302153,323402,845,0
selected,1m,64,65536,cold,64,9720,2,22,9666,308412,329661,847,309259,330508,847,0
auto,1m,64,65536,cold,64,9726,4,22,9672,308412,329661,843,309255,330504,843,0
direct,1m,64,65536,steady,256,38500,0,2,38500,4096,15316,321867,325963,337183,847,0
selected,1m,64,65536,steady,256,38500,0,2,38500,4096,15316,328973,333069,344289,849,0
auto,1m,64,65536,steady,256,38500,0,2,38500,4096,15316,328969,333065,344285,845,0
direct,1m,128,65536,cold,128,19357,2,25,19305,531452,575957,846,532298,576803,846,0
selected,1m,128,65536,cold,128,19359,2,25,19305,538556,583061,848,539404,583909,848,0
auto,1m,128,65536,cold,128,19365,4,25,19311,538556,583061,844,539400,583905,844,0
direct,1m,128,65536,steady,512,77032,0,2,77032,8192,31732,571724,579916,603456,848,0
selected,1m,128,65536,steady,512,77032,0,2,77032,8192,31732,578830,587022,610562,850,0
auto,1m,128,65536,steady,512,77032,0,2,77032,8192,31732,578826,587018,610558,846,0
direct,duplex,1,17,cold,1,70,4,9,16,141772,141876,845,142617,142721,845,0
selected,duplex,1,17,cold,1,72,4,9,16,148876,148980,847,149723,149827,847,0
auto,duplex,1,17,cold,1,80,7,9,24,148876,148980,843,149719,149823,843,0
direct,duplex,1,17,steady,4,24,0,2,24,64,168,142867,142931,143035,847,0
selected,duplex,1,17,steady,4,24,0,2,24,64,168,149973,150037,150141,849,0
auto,duplex,1,17,steady,4,24,0,2,24,64,168,149969,150033,150137,845,0
direct,duplex,8,17,cold,8,124,4,13,70,165052,166906,845,165897,167751,845,0
selected,duplex,8,17,cold,8,126,4,13,70,172156,174010,847,173003,174857,847,0
auto,duplex,8,17,cold,8,134,7,13,78,172156,174010,843,172999,174853,843,0
direct,duplex,8,17,steady,32,192,0,2,192,512,941,168363,168875,169304,847,0
selected,duplex,8,17,steady,32,192,0,2,192,512,941,175469,175981,176410,849,0
auto,duplex,8,17,steady,32,192,0,2,192,512,941,175465,175977,176406,845,0
