case,concurrency,phase,backend,variant,baseline_wall_ns_median,baseline_wall_ns_min,baseline_wall_ns_max,baseline_cpu_ns_median,baseline_cpu_ns_min,baseline_cpu_ns_max,candidate_wall_ns_median,candidate_wall_ns_min,candidate_wall_ns_max,candidate_cpu_ns_median,candidate_cpu_ns_min,candidate_cpu_ns_max,wall_candidate_over_baseline,wall_bootstrap95_low,wall_bootstrap95_high,cpu_candidate_over_baseline,cpu_bootstrap95_low,cpu_bootstrap95_high
duplex1m,8,steady,generic,owned16k,1610666.8278061224,1599881.3966836734,1806560.1926020407,1610640.051020408,1599846.6836734693,1806504.719387755,1578414.7920918367,1565771.538265306,1640806.2971938776,1578382.2704081633,1565718.6224489796,1640773.724489796,0.9786797580813976,0.9727320233945276,0.9872700906204961,0.9786679176368782,0.9719389958384781,0.9872660081263567
duplex1m,8,steady,generic,static16k,1554118.150510204,1538156.6926020407,1570261.7423469387,1554051.913265306,1538127.806122449,1570227.168367347,1512998.8456632653,1503306.256377551,1549497.543367347,1512970.280612245,1503273.2142857143,1549470.4081632653,0.9714111945974218,0.9656399521599401,0.9851863339630897,0.97142927963084,0.9656278514384307,0.9851898509254714
duplex1m,8,steady,generic,static1k,19991346.541666668,19728792.569444444,22571110.777777776,19990936.111111112,19728411.111111112,22570490.277777776,19793442.5,19579962.583333332,23878901.888888888,19792863.888888888,19579448.611111112,23878312.5,0.997175642266079,0.9824219416724563,1.0345411299174734,0.9971702928945723,0.9824230759023151,1.0345407615994535
duplex1m,8,steady,native,owned16k,1343799.7653061224,1323410.9591836734,1356893.6275510204,1343770.4081632653,1323366.0714285714,1356857.3979591837,1348431.0625,1331695.2040816327,1639563.0790816327,1348405.8673469387,1331659.4387755103,1639484.3112244897,1.0083979783261365,0.9994485960887272,1.2027083460245973,1.0084008748983007,0.9994474566256752,1.2027305965562662
duplex1m,8,steady,native,static16k,1289929.9017857143,1266469.5522959183,1302093.400510204,1289890.051020408,1266445.918367347,1302057.0153061224,1293863.637755102,1280043.5969387756,1305533.919642857,1293836.7346938776,1280019.8979591837,1305511.607142857,1.0031970159014265,0.998352100573872,1.010718018935591,1.003197817023823,0.998363153480294,1.010718167586134
duplex1m,8,steady,native,static1k,16752708.125,16268089.458333334,19259003.763888888,16752327.777777778,16267625.0,19258581.944444444,16611207.25,16464879.041666666,18434131.472222224,16610722.222222222,16464590.277777778,18433573.611111112,0.9915325122652516,0.9837153123516253,1.027466942673263,0.991526312103985,0.9837324579142708,1.0274638020813323
