case,concurrency,phase,backend,variant,baseline_wall_ns_median,baseline_wall_ns_min,baseline_wall_ns_max,baseline_cpu_ns_median,baseline_cpu_ns_min,baseline_cpu_ns_max,candidate_wall_ns_median,candidate_wall_ns_min,candidate_wall_ns_max,candidate_cpu_ns_median,candidate_cpu_ns_min,candidate_cpu_ns_max,wall_candidate_over_baseline,wall_bootstrap95_low,wall_bootstrap95_high,cpu_candidate_over_baseline,cpu_bootstrap95_low,cpu_bootstrap95_high
duplex1m,1,steady,generic,static16k,1825442.171875,1796335.2599431819,2097936.6107954546,1825358.5227272727,1796313.4943181819,2097890.7670454546,1801133.2982954546,1777967.7400568181,1972197.0909090908,1801075.4261363635,1777910.3693181819,1972146.1647727273,0.9855706406475554,0.9400651481844876,1.052037168321824,0.9855749847009179,0.9400614158525429,1.0520202874463458
duplex1m,1,steady,native,static16k,1441467.4105113635,1408561.3963068181,1578537.4275568181,1441416.7613636365,1408450.9943181819,1578478.5511363635,1446939.0454545454,1417835.8380681819,1625127.5255681819,1446901.8465909092,1417766.9034090908,1625056.5340909092,1.0052632896188884,0.9908100131811478,1.1178661835328951,1.0052621831398398,0.9908158365965485,1.1178591394278181
duplex1m,8,steady,generic,static16k,1546805.0357142857,1528639.099489796,1904328.4719387756,1546606.7602040817,1528605.8673469387,1904305.7397959183,1527453.306122449,1501333.4400510204,1686331.1734693877,1527430.357142857,1501306.887755102,1686311.0969387756,0.9852870808447416,0.969930544536389,0.9904224193998947,0.9852949401753516,0.9707169596955525,0.9904146643610926
duplex1m,8,steady,native,static16k,1299725.0548469387,1262434.1913265307,1495776.3227040817,1299699.6173469387,1262402.806122449,1495752.551020408,1287745.5102040817,1270626.2895408163,1395803.1224489796,1287719.8979591837,1270569.0051020407,1395771.0459183673,0.9998483774692918,0.8817926194468152,1.0159651979012252,0.9998338509339628,0.8817960206450772,1.0159618858965922
duplex1m,128,steady,generic,static16k,1627823.0091145833,1606838.8984375,1739622.73046875,1627788.4114583333,1606820.5729166667,1739592.578125,1591802.90625,1574929.8268229167,1715767.7994791667,1591782.421875,1574909.1145833333,1715711.8489583333,0.981958598711586,0.9689927715327167,0.9906425017454326,0.981956907264939,0.9689998292193324,0.9906410514682609
duplex1m,128,steady,native,static16k,1346331.0013020833,1319595.265625,1686023.9622395833,1346308.984375,1319577.0833333333,1685983.3333333333,1345084.1263020833,1332961.3815104167,1698333.55859375,1344278.125,1332931.1197916667,1698304.296875,0.9984304404525872,0.9824262706220365,1.0073174974868542,0.99842350981322,0.9814819129720096,1.0073259571031998
empty,1,cold,generic,static16k,310957.48387096776,301460.29032258067,374025.0967741936,305325.8064516129,291161.29032258067,370648.3870967742,320370.77419354836,305705.51612903224,390963.8387096774,314764.51612903224,302912.9032258064,386751.6129032258,1.019766471553213,0.9949701954576875,1.0452877148661233,1.0376309106554453,0.9958543564646759,1.0434460970748731
empty,1,cold,native,static16k,278228.06451612903,255918.06451612903,344725.2580645161,261816.12903225806,251645.16129032258,334900.0,272898.6129032258,251660.32258064515,352251.1935483871,260770.96774193548,248945.16129032258,345370.96774193546,1.008634353025162,0.9094767810028846,1.030339379554701,1.0287815876692583,0.9588398122517752,1.0325716256434494
empty,1,steady,generic,static16k,35506.609940919596,35117.87037631647,39510.867358078605,35506.07821731312,35114.853583354736,39509.0771898279,35838.8699910095,34936.57873105574,40863.31832776779,35838.15502183406,34935.85602363216,40862.859619830466,1.0118251087278491,0.9948376241691755,1.127865006629573,1.011817541064932,0.9949025115739788,1.1278569667082143
empty,1,steady,native,static16k,32066.015315951707,31684.203570511174,36654.0456588749,32065.595299255074,31683.79142049833,36653.60262008734,32635.018302080658,32214.83852427434,38059.31052530182,32633.92306704341,32214.38800410994,38057.943745183664,1.0179993975370982,1.0019456792501338,1.122783746756643,1.0179984817517311,1.001947800177666,1.1227588072661634
empty,8,cold,generic,static16k,71802.95238095238,68490.36904761905,99984.09523809524,70772.61904761905,68227.38095238095,99479.76190476191,71994.13690476191,68831.44047619047,96291.82142857143,71527.97619047618,68446.42857142857,95747.61904761905,1.0061107189918177,0.9910141578102727,1.0203685748430558,1.0106730138437987,0.9958337499583374,1.0173724583393773
