case,concurrency,phase,backend,measured_exchanges,warmup_cohorts,allocations,allocations_per_exchange,reallocations,reallocations_per_exchange,deallocations,deallocations_per_exchange,requested_live_start,requested_live_end,requested_peak_live,requested_live_change,runtime_and_unattributed_wrapper_workers_allocations,application_facing_polls_allocations,connection_driver_polls_allocations
duplex1m,8,cold,generic,8,0,34104,4263.0,28,3.5,34090,4261.25,33261,35197,483195,1936,2194,1285,30625
duplex1m,8,steady,native,16,8,48823,3051.4375,2,0.125,48823,3051.4375,276572,277084,341136,512,4368,2482,41973
duplex1m,8,steady,generic,16,8,61514,3844.625,2,0.125,61514,3844.625,487745,488257,552701,512,4368,2482,54664
duplex1m,32,cold,native,32,0,94204,2943.875,46,1.4375,94190,2943.4375,33260,37116,689024,3856,8745,5136,80323
duplex1m,32,cold,generic,32,0,137176,4286.75,46,1.4375,137162,4286.3125,33261,37117,835421,3856,8746,5134,123296
duplex1m,32,steady,native,64,8,187253,2925.828125,3,0.046875,187253,2925.828125,394038,396534,736530,2496,17472,9988,159793
duplex1m,32,steady,generic,64,8,275878,4310.59375,2,0.03125,275878,4310.59375,539611,541659,881471,2048,17472,9988,248418
duplex1m,128,cold,native,128,0,414088,3235.0625,65,0.5078125,414074,3234.953125,33260,44220,2055840,10960,34953,20498,358637
duplex1m,128,cold,generic,128,0,554723,4333.7734375,64,0.5,554709,4333.6640625,33261,44221,2168973,10960,34954,20498,499271
duplex1m,128,steady,native,256,8,794241,3102.50390625,2,0.0078125,794241,3102.50390625,671014,679206,2110082,8192,69888,39945,684408
duplex1m,128,steady,generic,256,8,1047997,4093.73828125,2,0.0078125,1047997,4093.73828125,881739,889931,2321199,8192,69888,39944,938165
