mode,concurrency,previous_cohort,through_cohort,retired_each_endpoint,allocations,reallocations,deallocations,requested_live_start,requested_live_end,requested_live_change,requested_peak_live,harness_requested_bytes
selected,128,10,12,1536,1064,0,1064,591020,591020,0,596167,222208
selected,128,12,100,12800,46816,0,46816,591020,591020,0,596167,222208
selected,128,100,1000,128000,478800,0,478800,591020,591020,0,596167,222208
selected,128,1000,2000,256000,532000,0,532000,591020,591020,0,596167,222208
selected,128,2000,5000,640000,1596000,0,1596000,591020,591020,0,596167,222208
selected,128,5000,10000,1280000,2660000,0,2660000,591020,591020,0,596167,222208
auto,1,0,0,0,26,4,2,842,78882,78040,78882,3768
auto,1,0,8,8,76,7,50,78882,83886,5004,114031,3768
auto,1,8,10,10,8,2,8,83886,83950,64,84002,3768
auto,1,10,12,12,8,0,8,83950,83950,0,84002,3768
auto,1,12,100,100,358,6,358,83950,86862,2912,86942,3768
auto,1,100,1000,1000,3608,6,3608,86862,128590,41728,137822,3768
auto,1,1000,1024,1024,96,0,96,128590,128590,0,128642,3768
auto,1,1024,1025,1025,4,2,4,128590,136782,8192,136834,3768
auto,1,1025,2000,2000,3900,0,3900,136782,136782,0,136834,3768
auto,1,2000,5000,5000,12000,0,12000,136782,136782,0,136834,3768
auto,1,5000,10000,10000,20000,0,20000,136782,136782,0,136834,3768
auto,8,0,0,0,26,4,2,842,90922,90080,90922,15808
auto,8,0,8,64,314,16,288,90922,109542,18620,132202,15808
auto,8,8,10,80,64,2,64,109542,110054,512,110158,15808
auto,8,10,12,96,64,0,64,110054,110054,0,110158,15808
auto,8,12,100,800,2822,6,2822,110054,133350,23296,133878,15808
auto,8,100,128,1024,898,0,898,133350,151782,18432,161014,15808
auto,8,128,129,1032,32,2,32,151782,159974,8192,160026,15808
auto,8,129,1000,8000,27872,0,27872,159974,159974,0,160078,15808
auto,8,1000,2000,16000,32000,0,32000,159974,159974,0,160078,15808
auto,8,2000,5000,40000,96000,0,96000,159974,159974,0,160078,15808
auto,8,5000,10000,80000,160000,0,160000,159974,159974,0,160078,15808
auto,64,0,0,0,26,4,2,843,187243,186400,187243,112128
auto,64,0,8,512,2196,28,2170,187243,330407,143164,337287,112128
auto,64,8,10,640,530,2,530,330407,334503,4096,336811,112128
auto,64,10,12,768,530,0,530,334503,334503,0,336811,112128
auto,64,12,16,1024,1062,0,1062,334503,352935,18432,364423,112128
auto,64,16,17,1088,265,2,265,352935,361127,8192,363435,112128
auto,64,17,100,6400,21995,0,21995,361127,361127,0,363435,112128
auto,64,100,1000,64000,238500,0,238500,361127,361127,0,363435,112128
auto,64,1000,2000,128000,265000,0,265000,361127,361127,0,363435,112128
auto,64,2000,5000,320000,795000,0,795000,361127,361127,0,363435,112128
auto,64,5000,10000,640000,1325000,0,1325000,361127,361127,0,363435,112128
auto,128,0,0,0,26,4,2,844,297324,296480,297324,222208
auto,128,0,8,1024,4338,32,4312,297324,582824,285500,597144,222208
auto,128,8,9,1152,532,2,532,582824,591016,8192,596156,222208
auto,128,9,10,1280,532,0,532,591016,591016,0,596163,222208
auto,128,10,12,1536,1064,0,1064,591016,591016,0,596163,222208
auto,128,12,100,12800,46816,0,46816,591016,591016,0,596163,222208
auto,128,100,1000,128000,478800,0,478800,591016,591016,0,596163,222208
auto,128,1000,2000,256000,532000,0,532000,591016,591016,0,596163,222208
auto,128,2000,5000,640000,1596000,0,1596000,591016,591016,0,596163,222208
auto,128,5000,10000,1280000,2660000,0,2660000,591016,591016,0,596163,222208
