mode,case,concurrency,fragment,phase,batches,exchanges,warmup_batches,allocations,zeroed_allocations,reallocations,deallocations,allocations_per_exchange,requested_live_start,requested_live_end,requested_peak_live,requested_peak_growth,requested_live_change,live_before_setup,live_after_teardown,teardown_live_change,identical_repetitions
selected,32k,8,65536,cold,1,8,0,139,2,13,85,17.375,836,107872,109246,108410,107036,836,836,0,3
auto,32k,8,65536,cold,1,8,0,145,4,13,91,18.125,832,107868,132352,131520,107036,832,832,0,3
direct,32k,8,65536,steady,4,32,8,248,0,2,248,7.75,103232,103744,104615,1383,512,836,836,0,3
selected,32k,8,65536,steady,4,32,8,248,0,2,248,7.75,110338,110850,111721,1383,512,838,838,0,3
auto,32k,8,65536,steady,4,32,8,248,0,2,248,7.75,110334,110846,111717,1383,512,834,834,0,3
direct,32k,64,65536,cold,1,64,0,648,2,22,596,10.125,835,302143,323392,322557,301308,835,835,0,3
selected,32k,64,65536,cold,1,64,0,650,2,22,596,10.15625,837,309249,330498,329661,308412,837,837,0,3
auto,32k,64,65536,cold,1,64,0,656,4,22,602,10.25,833,309245,330494,329661,308412,833,833,0,3
direct,32k,64,65536,steady,4,256,8,2220,0,2,2220,8.671875,321857,325953,337017,15160,4096,837,837,0,3
selected,32k,64,65536,steady,4,256,8,2220,0,2,2220,8.671875,328963,333059,344123,15160,4096,839,839,0,3
auto,32k,64,65536,steady,4,256,8,2220,0,2,2220,8.671875,328959,333055,344119,15160,4096,835,835,0,3
direct,32k,128,65536,cold,1,128,0,1217,2,25,1165,9.5078125,836,532288,576793,575957,531452,836,836,0,3
selected,32k,128,65536,cold,1,128,0,1219,2,25,1165,9.5234375,838,539394,583899,583061,538556,838,838,0,3
auto,32k,128,65536,cold,1,128,0,1225,4,25,1171,9.5703125,834,539390,583895,583061,538556,834,834,0,3
direct,32k,128,65536,steady,4,512,8,4472,0,2,4472,8.734375,571714,579906,603186,31472,8192,838,838,0,3
selected,32k,128,65536,steady,4,512,8,4472,0,2,4472,8.734375,578820,587012,610292,31472,8192,840,840,0,3
auto,32k,128,65536,steady,4,512,8,4472,0,2,4472,8.734375,578816,587008,610288,31472,8192,836,836,0,3
direct,1m,1,65536,cold,1,1,0,193,2,9,141,193.0,833,77485,77589,76756,76652,833,833,0,3
selected,1m,1,65536,cold,1,1,0,195,2,9,141,195.0,835,84591,84695,83860,83756,835,835,0,3
auto,1m,1,65536,cold,1,1,0,201,4,9,147,201.0,831,84587,114340,113509,83756,831,831,0,3
direct,1m,1,65536,steady,4,4,8,520,0,2,520,130.0,77735,77799,77955,220,64,835,835,0,3
selected,1m,1,65536,steady,4,4,8,520,0,2,520,130.0,84841,84905,85061,220,64,837,837,0,3
auto,1m,1,65536,steady,4,4,8,520,0,2,520,130.0,84837,84901,85057,220,64,833,833,0,3
