case,concurrency,phase,backend,variant,baseline_wall_ns_median,baseline_wall_ns_min,baseline_wall_ns_max,baseline_cpu_ns_median,baseline_cpu_ns_min,baseline_cpu_ns_max,candidate_wall_ns_median,candidate_wall_ns_min,candidate_wall_ns_max,candidate_cpu_ns_median,candidate_cpu_ns_min,candidate_cpu_ns_max,wall_candidate_over_baseline,wall_bootstrap95_low,wall_bootstrap95_high,cpu_candidate_over_baseline,cpu_bootstrap95_low,cpu_bootstrap95_high
duplex1m,8,steady,generic,owned16k,1631146.4175,1598483.23875,1812591.84625,1631079.5,1598456.5,1812553.75,1603029.93625,1582426.11625,1765919.19875,1602984.375,1582391.25,1765891.375,0.9713610694139209,0.8845760361288788,1.1005813635404313,0.9713694341911101,0.8845774227889373,1.1005801534167492
duplex1m,8,steady,generic,static16k,1710801.0475,1534757.38875,1742092.4475,1710772.375,1533485.375,1742053.0,1526776.08875,1521002.16625,1693275.75125,1526741.0,1520993.5,1693233.75,0.8908949032836034,0.8816516544906793,1.0899145671303672,0.8908883918586773,0.881631988024385,1.0899244283774707
duplex1m,8,steady,generic,static1k,20297788.444444444,19548279.236111112,21707074.152777776,20297294.444444444,19547716.666666668,21706286.111111112,21370868.930555556,19456842.569444444,21641779.097222224,21370544.444444444,19456419.444444444,21641384.722222224,0.9991730901341482,0.9778765779943778,1.0863668083373963,0.9991761274463126,0.9778894957146984,1.0863740408442133
duplex1m,8,steady,native,owned16k,1444733.5525,1325553.9425,1541491.59875,1444667.375,1325528.5,1541457.25,1316524.67625,1307054.64,1388000.425,1316489.75,1307020.875,1387971.125,0.9321235610675,0.8521547997901009,1.0047215924416046,0.932147183707253,0.8521477921444572,1.0047079656769962
duplex1m,8,steady,native,static16k,1308341.53375,1273995.915,1466499.27625,1308316.0,1273956.0,1466462.625,1264150.605,1250189.5875,1473572.00125,1264125.5,1250167.0,1473541.75,0.9827927958418649,0.8651064614091165,1.0005826501940425,0.9828044496670829,0.8651074351097147,1.000583870967138
duplex1m,8,steady,native,static1k,17579829.013888888,16173959.347222222,18872430.222222224,17579548.611111112,16173709.722222222,18872076.388888888,16248518.722222222,15993749.847222222,18428880.541666668,16248138.888888888,15993948.611111112,18428561.111111112,0.9504195226257722,0.8601355641814767,1.0096692087281491,0.9504238132276143,0.8601149773382853,1.0096678672032142
