mode,case,concurrency,fragment,phase,exchanges,allocations,zeroed_allocations,reallocations,deallocations,requested_live_start,requested_live_end,requested_peak_live,requested_peak_growth,requested_live_change,teardown_live_change
selected,1m,1,65536,steady,4,520,0,2,520,84836,84900,85056,220,64,0
auto,1m,1,65536,steady,4,520,0,2,520,84832,84896,85052,220,64,0
direct,1m,8,65536,cold,8,1129,2,13,1077,828,100760,102134,101306,99932,0
selected,1m,8,65536,cold,8,1131,2,13,1077,830,107866,109240,108410,107036,0
auto,1m,8,65536,cold,8,1137,4,13,1083,826,107862,132346,131520,107036,0
direct,1m,8,65536,steady,32,4216,0,2,4216,103226,103738,104622,1396,512,0
selected,1m,8,65536,steady,32,4216,0,2,4216,110332,110844,111728,1396,512,0
auto,1m,8,65536,steady,32,4216,0,2,4216,110328,110840,111724,1396,512,0
direct,1m,64,65536,cold,64,9718,2,22,9666,829,302137,323386,322557,301308,0
selected,1m,64,65536,cold,64,9720,2,22,9666,831,309243,330492,329661,308412,0
auto,1m,64,65536,cold,64,9726,4,22,9672,827,309239,330488,329661,308412,0
direct,1m,64,65536,steady,256,38500,0,2,38500,321851,325947,337167,15316,4096,0
selected,1m,64,65536,steady,256,38500,0,2,38500,328957,333053,344273,15316,4096,0
auto,1m,64,65536,steady,256,38500,0,2,38500,328953,333049,344269,15316,4096,0
direct,1m,128,65536,cold,128,19357,2,25,19305,830,532282,576787,575957,531452,0
selected,1m,128,65536,cold,128,19359,2,25,19305,832,539388,583893,583061,538556,0
auto,1m,128,65536,cold,128,19365,4,25,19311,828,539384,583889,583061,538556,0
direct,1m,128,65536,steady,512,77032,0,2,77032,571708,579900,603440,31732,8192,0
selected,1m,128,65536,steady,512,77032,0,2,77032,578814,587006,610546,31732,8192,0
auto,1m,128,65536,steady,512,77032,0,2,77032,578810,587002,610542,31732,8192,0
direct,duplex,1,17,cold,1,70,4,9,16,829,142601,142705,141876,141772,0
selected,duplex,1,17,cold,1,72,4,9,16,831,149707,149811,148980,148876,0
auto,duplex,1,17,cold,1,80,7,9,24,827,149703,149807,148980,148876,0
direct,duplex,1,17,steady,4,24,0,2,24,142851,142915,143019,168,64,0
selected,duplex,1,17,steady,4,24,0,2,24,149957,150021,150125,168,64,0
auto,duplex,1,17,steady,4,24,0,2,24,149953,150017,150121,168,64,0
direct,duplex,8,17,cold,8,124,4,13,70,829,165881,167735,166906,165052,0
selected,duplex,8,17,cold,8,126,4,13,70,831,172987,174841,174010,172156,0
auto,duplex,8,17,cold,8,134,7,13,78,827,172983,174837,174010,172156,0
direct,duplex,8,17,steady,32,192,0,2,192,168347,168859,169288,941,512,0
selected,duplex,8,17,steady,32,192,0,2,192,175453,175965,176394,941,512,0
auto,duplex,8,17,steady,32,192,0,2,192,175449,175961,176390,941,512,0
